Address,Colocation
104.19.61.,LAX
104.19.62.,LAX
104.19.63.,LAX
104.19.64.,LAX
104.19.65.,LAX
104.19.66.,LAX
104.19.67.,LAX
104.19.68.,LAX
104.19.69.,LAX
104.19.70.,LAX
104.19.71.,LAX
104.19.72.,LAX
104.19.73.,LAX
104.19.74.,LAX
104.19.75.,LAX
104.19.76.,LAX
104.19.77.,LAX
104.19.78.,LAX
104.19.79.,LAX
104.19.80.,LAX
104.19.81.,LAX
104.19.82.,LAX
104.19.83.,LAX
104.19.84.,LAX
104.19.85.,LAX
104.19.86.,LAX
104.19.87.,LAX
104.19.88.,LAX
104.19.89.,LAX
104.19.90.,LAX
104.19.91.,LAX
104.19.92.,LAX
104.19.93.,LAX
104.19.94.,LAX
104.19.95.,LAX
104.19.96.,LAX
104.19.97.,LAX
104.19.98.,LAX
104.19.99.,LAX
104.19.100.,LAX
104.19.101.,LAX
104.19.102.,LAX
104.19.103.,LAX
104.19.104.,LAX
104.19.105.,LAX
104.19.106.,LAX
104.19.107.,LAX
104.19.108.,LAX
104.19.109.,LAX
104.19.110.,LAX
104.19.111.,LAX
104.19.112.,LAX
104.19.113.,LAX
104.19.114.,LAX
104.19.115.,LAX
104.19.116.,LAX
104.19.117.,LAX
104.19.118.,LAX
104.19.119.,LAX
104.19.120.,LAX
104.19.121.,LAX
104.19.122.,LAX
104.19.123.,LAX
104.19.124.,LAX
104.19.125.,LAX
104.19.126.,LAX
104.19.127.,LAX
104.19.128.,LAX
104.19.129.,LAX
104.19.130.,LAX
104.19.131.,LAX
104.19.132.,LAX
104.19.133.,LAX
104.19.134.,LAX
104.19.135.,LAX
104.19.136.,LAX
104.19.137.,LAX
104.19.138.,LAX
104.19.139.,LAX
104.19.140.,LAX
104.19.141.,LAX
104.19.142.,LAX
104.19.143.,LAX
104.19.144.,SJC
104.19.145.,SJC
104.19.146.,SJC
104.19.147.,SJC
104.19.148.,SJC
104.19.149.,SJC
104.19.150.,SJC
104.19.151.,SJC
104.19.152.,SJC
104.19.153.,SJC
104.19.154.,SJC
104.19.155.,SJC
104.19.156.,SJC
104.19.157.,SJC
104.19.158.,SJC
104.19.159.,SJC
104.19.160.,LAX
104.19.161.,LAX
104.19.162.,LAX
104.19.163.,LAX
104.19.164.,LAX
104.19.165.,LAX
104.19.166.,LAX
104.19.167.,LAX
104.19.168.,LAX
104.19.169.,LAX
104.19.170.,LAX
104.19.171.,LAX
104.19.172.,LAX
104.19.173.,LAX
104.19.174.,LAX
104.19.175.,LAX
104.19.176.,LAX
104.19.177.,LAX
104.19.178.,LAX
104.19.179.,LAX
104.19.180.,LAX
